B09-F01_8, 412, 13.491, 379.47, 25.1643, 11.1846362242, 41.620532212
B09-F01_14, 413, 692.162, 305.36, 27.5, 11.1998185901, 41.6265158721
B09-F01_14, 414, 243.928, 401.442, 25.0, 11.2081530113, 41.6252025357
B09-F01_15, 413, 67.1622, 305.36, 27.5, 11.1998185901, 41.6265158721
B09-F01_18, 414, 243.928, 1.44236, 25.0, 11.2081530113, 41.6252025357
B09-F01_18, 415, 498.654, 363.037, 16.3239, 11.2065626078, 41.6312295716
B09-F02_2, 430, 513.982, 292.581, 20.0, 11.153277846, 41.6236212731
B09-F02_3, 433, 722.651, 332.398, 18.75, 11.1394268407, 41.6288344098
B09-F02_4, 433, 97.6508, 332.398, 18.75, 11.1394268407, 41.6288344098
B09-F02_7, 427, 369.188, 450.936, 45.5032, 11.149345085, 41.6334182008
B09-F02_8, 426, 159.537, 179.911, 18.0584, 11.1402459272, 41.6323246187
B09-F02_11, 427, 369.188, 50.9355, 45.5032, 11.149345085, 41.6334182008
B09-F02_12, 428, 386.145, 378.528, 121.758, 11.1409209532, 41.641200185
B09-F02_14, 434, 370.296, 240.976, 17.4386, 11.1643963204, 41.6373805873
B09-F02_19, 429, 253.778, 231.417, 21.8148, 11.1587149075, 41.6452071285
B09-F03_2, 437, 427.042, 385.578, 62.6717, 11.1151554616, 41.6377101777
B09-F03_2, 449, 189.968, 128.087, 16.25, 11.1172341423, 41.6331038972
B09-F03_4, 459, 550.357, 62.2754, 21.3878, 11.0893949347, 41.6413623631
B09-F03_8, 438, 597.234, 205.124, 48.8918, 11.0926996193, 41.648515698
B09-F03_9, 440, 298.055, 159.214, 75.0, 11.1322926679, 41.6407284789
B09-F03_11, 441, 370.366, 243.536, 47.5924, 11.1104787043, 41.6492687098
B09-F03_11, 442, 306.51, 220.491, 20.0, 11.1113888466, 41.6486156468
B09-F03_14, 454, 277.053, 226.025, 75.1013, 11.1255676013, 41.6500640652
B09-F03_19, 444, 523.068, 467.001, 25.0, 11.1156225621, 41.6631174456
B09-F03_23, 444, 523.068, 67.0006, 25.0, 11.1156225621, 41.6631174456
B09-F03_23, 445, 547.705, 221.099, 28.75, 11.1163692914, 41.6652118654
B09-F04_1, 459, 7.65151, 82.3477, 21.3878, 11.0893949347, 41.6413623631
B09-F04_3, 1178, 502.445, 213.085, 23.2518, 11.0607567131, 41.6528770357
B09-F04_5, 438, 54.7877, 225.173, 48.8918, 11.0926996193, 41.648515698
B09-F04_10, 1179, 279.574, 190.078, 17.5, 11.0810293363, 41.657947115
B09-F04_11, 1180, 598.438, 367.404, 35.0506, 11.0663395432, 41.6655285107
B09-F04_19, 1181, 384.577, 386.832, 31.25, 11.0761681779, 41.6747179446
B09-F04_21, 1182, 340.206, 256.191, 31.0807, 11.1001914698, 41.6708213961
B09-F05_1, 1198, 414.141, 43.2712, 50.0, 11.0418991248, 41.6565633618
B09-F05_2, 1218, 397.466, 35.1297, 25.0, 11.0315065698, 41.6598964848
B09-F05_4, 1199, 518.07, 456.999, 72.5, 11.0114140869, 41.6729891192
B09-F05_5, 1200, 581.896, 460.336, 27.4771, 11.045229442, 41.6678778707
B09-F05_6, 1204, 388.437, 473.716, 40.0, 11.0380008402, 41.6704857099
B09-F05_8, 1199, 518.07, 56.999, 72.5, 11.0114140869, 41.6729891192
B09-F05_9, 1200, 581.896, 60.3364, 27.4771, 11.045229442, 41.6678778707
B09-F05_10, 1203, 510.484, 181.548, 40.0, 11.0367432235, 41.6725433586
B09-F05_10, 1204, 388.437, 73.7157, 40.0, 11.0380008402, 41.6704857099
B09-F05_11, 1207, 576.707, 148.756, 29.2933, 11.0247531392, 41.6760313896
B09-F05_13, 1201, 588.846, 227.168, 51.3472, 11.0493992718, 41.6751088097
B09-F05_16, 1209, 255.573, 466.47, 83.128, 11.0250174133, 41.6868544253
B09-F05_17, 1208, 670.649, 113.116, 25.0, 11.0501731513, 41.6791989742
B09-F05_18, 1208, 45.6488, 113.116, 25.0, 11.0501731513, 41.6791989742
B09-F05_20, 1209, 255.573, 66.4699, 83.128, 11.0250174133, 41.6868544253
B09-F05_25, 1210, 396.958, 365.833, 25.0, 11.0627896466, 41.6910077918
B09-F06_1, 1199, 15.6975, 459.205, 72.5, 11.0114140869, 41.6729891192
B09-F06_3, 1231, 717.755, 367.798, 37.5, 10.9775611107, 41.6828559618
B09-F06_4, 1231, 92.7547, 367.798, 37.5, 10.9775611107, 41.6828559618
B09-F06_5, 1199, 15.6975, 59.2049, 72.5, 11.0114140869, 41.6729891192
B09-F06_27, 1229, 207.797, 203.457, 42.5, 11.0031378843, 41.7083429562
B09-F06_27, 1230, 705.093, 305.414, 22.5, 10.9954573141, 41.7124460218
B09-F06_28, 1230, 80.0928, 305.414, 22.5, 10.9954573141, 41.7124460218
B09-F07_3, 470, 102.542, 9.87119, 25.0, 11.1676255951, 41.5738401942
B09-F07_8, 461, 406.777, 195.372, 40.2537, 11.156282099, 41.5865167367
B09-F08_3, 474, 599.793, 263.746, 22.5, 11.1208035723, 41.5932695664
B09-F08_4, 473, 513.197, 367.472, 25.8065, 11.1124509646, 41.5976255259
B09-F08_5, 475, 307.96, 484.318, 36.3938, 11.151648959, 41.5924342276
B09-F08_9, 475, 307.96, 84.3177, 36.3938, 11.151648959, 41.5924342276
B09-F08_9, 476, 587.638, 283.666, 16.25, 11.1484104778, 41.5965438242
B09-F08_11, 477, 351.241, 367.95, 41.7823, 11.1318492111, 41.6033393282
B09-F08_12, 478, 137.493, 343.975, 18.75, 11.1246894352, 41.6053576832
B09-F08_12, 484, 715.39, 105.709, 36.5373, 11.1130830748, 41.6055970965
B09-F08_18, 480, 352.791, 421.017, 43.75, 11.1488738167, 41.6106410302
B09-F08_19, 479, 365.153, 127.665, 35.7774, 11.1358412668, 41.6105198432
B09-F08_22, 480, 352.791, 21.0175, 43.75, 11.1488738167, 41.6106410302
B09-F09_1, 473, 13.4144, 368.508, 25.8065, 11.1124509646, 41.5976255259
B09-F09_7, 513, 688.839, 342.151, 25.0, 11.0826014945, 41.6132429729
B09-F09_8, 513, 63.8395, 342.151, 25.0, 11.0826014945, 41.6132429729
B09-F09_9, 484, 215.859, 106.65, 36.5373, 11.1130830748, 41.6055970965
B09-F09_12, 501, 532.602, 208.635, 27.403, 11.0766576764, 41.6192712508
B09-F09_12, 503, 424.599, 134.66, 29.7773, 11.0779322529, 41.6177227655
B09-F09_12, 1240, 663.434, 451.906, 42.771, 11.076274111, 41.6230969244
B09-F09_13, 497, 296.109, 222.072, 34.4346, 11.1156171589, 41.6125898325
B09-F09_13, 505, 593.372, 451.553, 26.0237, 11.1123073017, 41.6171812115
B09-F09_16, 1240, 663.434, 51.9063, 42.771, 11.076274111, 41.6230969244
B09-F09_17, 505, 593.372, 51.5526, 26.0237, 11.1123073017, 41.6171812115
B09-F09_17, 507, 549.837, 372.812, 38.7032, 11.1154747063, 41.621011045
B09-F09_26, 449, 192.642, 406.684, 16.25, 11.1172341423, 41.6331038972
B09-F09_28, 459, 553.016, 340.495, 21.3878, 11.0893949347, 41.6413623631
B09-F09_28, 518, 296.382, 109.865, 14.2836, 11.0920092062, 41.636986528
B09-F10_3, 1238, 146.699, 183.139, 37.182, 11.0463776493, 41.6164881453
B09-F10_4, 1239, 492.84, 353.859, 25.0, 11.03118267, 41.6241378674
B09-F10_9, 1240, 120.228, 472.4, 42.771, 11.076274111, 41.6230969244
B09-F10_9, 1241, 717.777, 368.254, 41.2896, 11.0653448943, 41.6251523702
B09-F10_10, 1241, 92.7772, 368.254, 41.2896, 11.0653448943, 41.6251523702
B09-F10_10, 1251, 582.808, 274.827, 25.2186, 11.0563210684, 41.6267354487
B09-F10_11, 1244, 685.03, 215.047, 106.582, 11.0435244459, 41.6300842698
B09-F10_12, 1242, 463.459, 203.285, 25.0, 11.0365865507, 41.6322129929
B09-F10_12, 1243, 398.471, 290.198, 32.7109, 11.0383464482, 41.6329489363
B09-F10_12, 1244, 60.0297, 215.047, 106.582, 11.0435244459, 41.6300842698
B09-F10_13, 1240, 120.228, 72.4005, 42.771, 11.076274111, 41.6230969244
B09-F10_19, 1245, 266.358, 324.119, 27.6276, 11.0575021029, 41.6392544141
B09-F10_25, 459, 10.5214, 361.042, 21.3878, 11.0893949347, 41.6413623631
B09-F10_26, 1247, 238.343, 242.158, 28.2293, 11.0740177364, 41.6446748494
B09-F10_27, 1246, 241.657, 189.403, 25.0, 11.0629509883, 41.6475559504
B09-F11_2, 1265, 395.959, 130.05, 25.0, 11.0119525543, 41.6271923629
