_id,zooniverse_id,subimage
509935796aa0e064b60000c2,AAP000005e,B01-F04_20_F475W
509935796aa0e064b60000c3,AAP000005f,B01-F04_21
509935796aa0e064b60000c4,AAP000005g,B01-F04_21_F475W
509935796aa0e064b60000c5,AAP000005h,B01-F04_22
509935796aa0e064b60000c6,AAP000005i,B01-F04_22_F475W
509935796aa0e064b60000c7,AAP000005j,B01-F04_23
509935796aa0e064b60000c8,AAP000005k,B01-F04_23_F475W
509935796aa0e064b60000c9,AAP000005l,B01-F04_24
509935796aa0e064b60000ca,AAP000005m,B01-F04_24_F475W
509935796aa0e064b60000cb,AAP000005n,B01-F04_25
509935796aa0e064b60000cc,AAP000005o,B01-F04_25_F475W
509935796aa0e064b60000cd,AAP000005p,B01-F04_26
509935796aa0e064b60000ce,AAP000005q,B01-F04_26_F475W
509935796aa0e064b60000cf,AAP000005r,B01-F04_27
509935796aa0e064b60000d0,AAP000005s,B01-F04_27_F475W
509935796aa0e064b60000d1,AAP000005t,B01-F04_28
509935796aa0e064b60000d2,AAP000005u,B01-F04_28_F475W
509935796aa0e064b60000d3,AAP000005v,B01-F04_2_F475W
509935796aa0e064b60000d4,AAP000005w,B01-F04_3
509935796aa0e064b60000d5,AAP000005x,B01-F04_3_F475W
509935796aa0e064b60000d6,AAP000005y,B01-F04_4
509935796aa0e064b60000d7,AAP000005z,B01-F04_4_F475W
509935796aa0e064b60000d8,AAP0000060,B01-F04_5
509935796aa0e064b60000d9,AAP0000061,B01-F04_5_F475W
509935796aa0e064b60000da,AAP0000062,B01-F04_6
509935796aa0e064b60000db,AAP0000063,B01-F04_6_F475W
509935796aa0e064b60000dc,AAP0000064,B01-F04_7
509935796aa0e064b60000dd,AAP0000065,B01-F04_7_F475W
509935796aa0e064b60000de,AAP0000066,B01-F04_8
509935796aa0e064b60000df,AAP0000067,B01-F04_8_F475W
509935796aa0e064b60000e0,AAP0000068,B01-F04_9
509935796aa0e064b60000e1,AAP0000069,B01-F04_9_F475W
509935796aa0e064b60000e2,AAP000006a,B01-F05_1
509935796aa0e064b60000e3,AAP000006b,B01-F05_10
509935796aa0e064b60000e4,AAP000006c,B01-F05_10_F475W
509935796aa0e064b60000e5,AAP000006d,B01-F05_11
509935796aa0e064b60000e6,AAP000006e,B01-F05_11_F475W
509935796aa0e064b60000e7,AAP000006f,B01-F05_12
509935796aa0e064b60000e8,AAP000006g,B01-F05_12_F475W
509935796aa0e064b60000e9,AAP000006h,B01-F05_13
509935796aa0e064b60000ea,AAP000006i,B01-F05_13_F475W
509935796aa0e064b60000eb,AAP000006j,B01-F05_14
509935796aa0e064b60000ec,AAP000006k,B01-F05_14_F475W
509935796aa0e064b60000ed,AAP000006l,B01-F05_15
509935796aa0e064b60000ee,AAP000006m,B01-F05_15_F475W
509935796aa0e064b60000ef,AAP000006n,B01-F05_16
509935796aa0e064b60000f0,AAP000006o,B01-F05_16_F475W
509935796aa0e064b60000f1,AAP000006p,B01-F05_17
509935796aa0e064b60000f2,AAP000006q,B01-F05_17_F475W
509935796aa0e064b60000f3,AAP000006r,B01-F05_18
509935796aa0e064b60000f4,AAP000006s,B01-F05_18_F475W
509935796aa0e064b60000f5,AAP000006t,B01-F05_19
509935796aa0e064b60000f6,AAP000006u,B01-F05_19_F475W
509935796aa0e064b60000f7,AAP000006v,B01-F05_1_F475W
509935796aa0e064b60000f8,AAP000006w,B01-F05_2
509935796aa0e064b60000f9,AAP000006x,B01-F05_20
509935796aa0e064b60000fa,AAP000006y,B01-F05_20_F475W
509935796aa0e064b60000fb,AAP000006z,B01-F05_21
509935796aa0e064b60000fc,AAP0000070,B01-F05_21_F475W
509935796aa0e064b60000fd,AAP0000071,B01-F05_22
509935796aa0e064b60000fe,AAP0000072,B01-F05_22_F475W
509935796aa0e064b60000ff,AAP0000073,B01-F05_23
509935796aa0e064b6000100,AAP0000074,B01-F05_23_F475W
509935796aa0e064b6000101,AAP0000075,B01-F05_24
509935796aa0e064b6000102,AAP0000076,B01-F05_24_F475W
509935796aa0e064b6000103,AAP0000077,B01-F05_25
509935796aa0e064b6000104,AAP0000078,B01-F05_25_F475W
509935796aa0e064b6000105,AAP0000079,B01-F05_26
509935796aa0e064b6000106,AAP000007a,B01-F05_26_F475W
509935796aa0e064b6000107,AAP000007b,B01-F05_27
509935796aa0e064b6000108,AAP000007c,B01-F05_27_F475W
509935796aa0e064b6000109,AAP000007d,B01-F05_28
509935796aa0e064b600010a,AAP000007e,B01-F05_28_F475W
509935796aa0e064b600010b,AAP000007f,B01-F05_2_F475W
509935796aa0e064b600010c,AAP000007g,B01-F05_3
509935796aa0e064b600010d,AAP000007h,B01-F05_3_F475W
509935796aa0e064b600010e,AAP000007i,B01-F05_4
509935796aa0e064b600010f,AAP000007j,B01-F05_4_F475W
509935796aa0e064b6000110,AAP000007k,B01-F05_5
509935796aa0e064b6000111,AAP000007l,B01-F05_5_F475W
509935796aa0e064b6000112,AAP000007m,B01-F05_6
509935796aa0e064b6000113,AAP000007n,B01-F05_6_F475W
509935796aa0e064b6000114,AAP000007o,B01-F05_7
509935796aa0e064b6000115,AAP000007p,B01-F05_7_F475W
509935796aa0e064b6000116,AAP000007q,B01-F05_8
509935796aa0e064b6000117,AAP000007r,B01-F05_8_F475W
509935796aa0e064b6000118,AAP000007s,B01-F05_9
509935796aa0e064b6000119,AAP000007t,B01-F05_9_F475W
509935796aa0e064b600011a,AAP000007u,B01-F06_1
509935796aa0e064b600011b,AAP000007v,B01-F06_10
509935796aa0e064b600011c,AAP000007w,B01-F06_10_F475W
509935796aa0e064b600011d,AAP000007x,B01-F06_11
509935796aa0e064b600011e,AAP000007y,B01-F06_11_F475W
509935796aa0e064b600011f,AAP000007z,B01-F06_12
509935796aa0e064b6000120,AAP0000080,B01-F06_12_F475W
509935796aa0e064b6000121,AAP0000081,B01-F06_13
509935796aa0e064b6000122,AAP0000082,B01-F06_13_F475W
509935796aa0e064b6000123,AAP0000083,B01-F06_14
509935796aa0e064b6000124,AAP0000084,B01-F06_14_F475W
509935796aa0e064b6000125,AAP0000085,B01-F06_15
509935796aa0e064b6000126,AAP0000086,B01-F06_15_F475W
509935796aa0e064b6000127,AAP0000087,B01-F06_16
509935796aa0e064b6000128,AAP0000088,B01-F06_16_F475W
509935796aa0e064b6000129,AAP0000089,B01-F06_17
509935796aa0e064b600012a,AAP000008a,B01-F06_17_F475W
509935796aa0e064b600012b,AAP000008b,B01-F06_18
509935796aa0e064b600012c,AAP000008c,B01-F06_18_F475W
509935796aa0e064b600012d,AAP000008d,B01-F06_19
509935796aa0e064b600012e,AAP000008e,B01-F06_19_F475W
509935796aa0e064b600012f,AAP000008f,B01-F06_1_F475W
509935796aa0e064b6000130,AAP000008g,B01-F06_2
509935796aa0e064b6000131,AAP000008h,B01-F06_20
509935796aa0e064b6000132,AAP000008i,B01-F06_20_F475W
509935796aa0e064b6000133,AAP000008j,B01-F06_21
509935796aa0e064b6000134,AAP000008k,B01-F06_21_F475W
509935796aa0e064b6000135,AAP000008l,B01-F06_22
509935796aa0e064b6000136,AAP000008m,B01-F06_22_F475W
509935796aa0e064b6000137,AAP000008n,B01-F06_23
509935796aa0e064b6000138,AAP000008o,B01-F06_23_F475W
509935796aa0e064b6000139,AAP000008p,B01-F06_24
509935796aa0e064b600013a,AAP000008q,B01-F06_24_F475W
509935796aa0e064b600013b,AAP000008r,B01-F06_25
509935796aa0e064b600013c,AAP000008s,B01-F06_25_F475W
509935796aa0e064b600013d,AAP000008t,B01-F06_26
509935796aa0e064b600013e,AAP000008u,B01-F06_26_F475W
509935796aa0e064b600013f,AAP000008v,B01-F06_27
509935796aa0e064b6000140,AAP000008w,B01-F06_27_F475W
509935796aa0e064b6000141,AAP000008x,B01-F06_28
509935796aa0e064b6000142,AAP000008y,B01-F06_28_F475W
509935796aa0e064b6000143,AAP000008z,B01-F06_2_F475W
509935796aa0e064b6000144,AAP0000090,B01-F06_3
509935796aa0e064b6000145,AAP0000091,B01-F06_3_F475W
509935796aa0e064b6000146,AAP0000092,B01-F06_4
509935796aa0e064b6000147,AAP0000093,B01-F06_4_F475W
509935796aa0e064b6000148,AAP0000094,B01-F06_5
509935796aa0e064b6000149,AAP0000095,B01-F06_5_F475W
509935796aa0e064b600014a,AAP0000096,B01-F06_6
509935796aa0e064b600014b,AAP0000097,B01-F06_6_F475W
509935796aa0e064b600014c,AAP0000098,B01-F06_7
