zooniverse_id,name,location,thumbnail_location,ra,dec
AAP000001e,B15-F09_21,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_21.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_21.jpg,11.273997011115853,41.891250034329325
AAP000001f,B15-F09_21_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_21_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_21_F475W.jpg,11.273997011115853,41.891250034329325
AAP000001g,B15-F09_21_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_21_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_21_F475W_sc.jpg,11.273997011115853,41.891250034329325
AAP000001h,B15-F09_21_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_21_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_21_sc.jpg,11.273997011115853,41.891250034329325
AAP000001i,B15-F09_22,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_22.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_22.jpg,11.262479828451498,41.89260935364427
AAP000001j,B15-F09_22_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_22_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_22_F475W.jpg,11.262479828451498,41.89260935364427
AAP000001k,B15-F09_22_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_22_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_22_F475W_sc.jpg,11.262479828451498,41.89260935364427
AAP000001l,B15-F09_22_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_22_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_22_sc.jpg,11.262479828451498,41.89260935364427
AAP000001m,B15-F09_23,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_23.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_23.jpg,11.250962155518447,41.89396752219385
AAP000001n,B15-F09_23_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_23_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_23_F475W.jpg,11.250962155518447,41.89396752219385
AAP000001o,B15-F09_23_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_23_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_23_F475W_sc.jpg,11.250962155518447,41.89396752219385
AAP000001p,B15-F09_23_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_23_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_23_sc.jpg,11.250962155518447,41.89396752219385
AAP000001q,B15-F09_24,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_24.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_24.jpg,11.239443993216284,41.89532453981186
AAP000001r,B15-F09_24_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_24_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_24_F475W.jpg,11.239443993216284,41.89532453981186
AAP000001s,B15-F09_24_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_24_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_24_F475W_sc.jpg,11.239443993216284,41.89532453981186
AAP000001t,B15-F09_24_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_24_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_24_sc.jpg,11.239443993216284,41.89532453981186
AAP000001u,B15-F09_25,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_25.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_25.jpg,11.275166263225394,41.896736981221245
AAP000001v,B15-F09_25_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_25_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_25_F475W.jpg,11.275166263225394,41.896736981221245
